pna_frequency_axis,pna_power,pna_tr1_linear_magnitude,pna_tr1_magnitude,pna_tr1_phase,pna_tr1_unwrapped_phase
3658340000.0,-30.0,1.9280309677124023,5.702280044555664,127.0985107421875,-232.90150451660156
3658380000.0,-30.0,1.9261884689331055,5.693975925445557,126.41215515136719,-233.5878448486328
3658420000.0,-30.0,1.9206500053405762,5.668964862823486,125.56687927246094,-234.43313598632812
3658460000.0,-30.0,1.9209473133087158,5.670309066772461,125.08241271972656,-234.91758728027344
3658500000.0,-30.0,1.9104825258255005,5.622861385345459,124.62885284423828,-235.37115478515625
3658540000.0,-30.0,1.902969479560852,5.58863639831543,124.07156372070312,-235.92845153808594
3658580000.0,-30.0,1.8958016633987427,5.555858135223389,123.63470458984375,-236.3653106689453
3658620000.0,-30.0,1.8843170404434204,5.503079891204834,123.09831237792969,-236.90170288085938
3658660000.0,-30.0,1.883957028388977,5.501419544219971,122.25177001953125,-237.74822998046875
3658700000.0,-30.0,1.8798458576202393,5.482445240020752,121.78800964355469,-238.21200561523438
3658740000.0,-30.0,1.8779085874557495,5.473488807678223,121.12370300292969,-238.8762969970703
3658780000.0,-30.0,1.8731803894042969,5.451591968536377,120.4026870727539,-239.59732055664062
3658820000.0,-30.0,1.866798758506775,5.421950340270996,119.8697509765625,-240.1302490234375
3658860000.0,-30.0,1.858053207397461,5.381163120269775,119.3231430053711,-240.67684936523438
3658900000.0,-30.0,1.8584351539611816,5.382948398590088,118.70472717285156,-241.2952880859375
3658940000.0,-30.0,1.8521441221237183,5.3534955978393555,117.91670227050781,-242.0832977294922
3658980000.0,-30.0,1.850917935371399,5.347743034362793,117.31001281738281,-242.6899871826172
3659020000.0,-30.0,1.851426124572754,5.350127696990967,116.47358703613281,-243.5264129638672
3659060000.0,-30.0,1.847952127456665,5.3338141441345215,115.8838882446289,-244.11611938476562
3659100000.0,-30.0,1.8420578241348267,5.306065559387207,115.18604278564453,-244.81394958496094
3659140000.0,-30.0,1.83931303024292,5.2931132316589355,114.34487915039062,-245.65513610839844
3659180000.0,-30.0,1.8386057615280151,5.2897725105285645,113.66435241699219,-246.33563232421875
3659220000.0,-30.0,1.832727074623108,5.261955261230469,113.29405212402344,-246.70594787597656
3659260000.0,-30.0,1.8261405229568481,5.23068380355835,112.68841552734375,-247.31158447265625
3659300000.0,-30.0,1.816899061203003,5.186615943908691,111.983154296875,-248.016845703125
3659340000.0,-30.0,1.813039779663086,5.16814661026001,111.4056167602539,-248.59437561035156
3659380000.0,-30.0,1.8031240701675415,5.12051248550415,110.94461059570312,-249.05538940429688
3659420000.0,-30.0,1.7959234714508057,5.085756301879883,110.53311157226562,-249.46688842773438
3659460000.0,-30.0,1.7926411628723145,5.069867134094238,109.89789581298828,-250.1020965576172
3659500000.0,-30.0,1.7890236377716064,5.052321434020996,109.10311889648438,-250.8968963623047
